RESULT_TAG,SID,CID,SMILES,Activity_Outcome,Activity_Score,Activity_Summary,Agonist_Activity,Agonist_Potency (uM),Agonist_Efficacy (%),Viability_Activity,Viability_Potency (uM),Viability_Efficacy (%),Sample_Source
107,170466396,5329098,CC1=CC(=C(N1)/C=C\2/C3=CC=CC=C3NC2=O)C,Active,64,active agonist,active agonist,6.682424727,87.21673006,inactive,,0,Tocris
108,144209228,7547,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,Active,49,active agonist,active agonist,6.824100906,34.95169015,active antagonist,25.1601,-41.1745,SigmaAldrich
109,144209804,5702746,CC[C@H](C)COC(=O)/C=C/C1=CC=C(C=C1)N=CC2=CC=C(C=C2)OC,Active,49,active agonist,active agonist,6.845014123,34.12759532,inactive,,0,SigmaAldrich
110,144211812,1549133,CC(C)C[C@@H](C(=O)O)NC(=O)OCC1C2=CC=CC=C2C3=CC=CC=C13,Active,56,active agonist,active agonist,6.85896219,59.08824005,inactive,,0,LightBiologicals
111,144210756,9935274,CC1=NC=CN1C2=CC=C(C=C2)SC3=CC=CC(=C3)C4(CCOCC4)C(=O)N.CS(=O)(=O)O,Active,48,active agonist,active agonist,6.85896219,29.46420935,active antagonist,20.0875,-41.6049,Pfizer
112,144207955,6053,CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2,Active,59,active agonist,active agonist,6.865937997,71.2464954,inconclusive antagonist,54.5381,-65.4403,SIGMA
113,170466390,7083,CC1=CC2=C(C=C1N)SC3=CC(=[N+](C)C)C=CC3=N2.[Cl-],Active,62,active agonist,active agonist,6.943856577,81.20666461,active antagonist,17.4422,-77.4612,Labotest
114,170465559,4764,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,Active,46,active agonist,active agonist,7.078383285,24.89509588,inactive,,0,Vitas
115,144212536,32872,CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C,Active,53,active agonist,active agonist,7.127300592,47.71829111,inactive,,0,LightBiologicals
116,170465853,6420010,COC1=CC(=C(C=C1C(=O)NC2CCN(CC2)CC3=CC=CC=C3)Cl)N.C(=C\C(=O)O)\C(=O)O,Active,56,active agonist,active agonist,7.215516244,62.07577333,inactive,,0,Prestwick
117,144208408,79717,CC1=CC(=CC(=C1O)C)C(C)(C)C2=CC(=C(C(=C2)C)O)C,Active,49,active agonist,active agonist,7.438341298,36.87698068,active antagonist,52.6594,-40.9896,SIGMA
118,144211954,14869,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)Cl)O,Active,54,active agonist,active agonist,7.695882154,53.7586965,active antagonist,24.3365,-52.8618,SIGMA
119,144211308,7693,C1=CC(=CC=C1N=C=O)Cl,Active,48,active agonist,active agonist,7.695882154,33.14884101,inactive,,0,LightBiologicals
120,251919673,9131,C1=CC=C2C(=C1)C3=C4C2=CC5=CC=CC6=C5C4=C(C=C6)C=C3,Active,73,active agonist,active agonist,7.791135224,127.6344798,active agonist,23.7101,143.862,"Toronto Research Chemicals, Inc."
121,170466453,33334,COC1=CC2=C(C=C1)N=C(S2)NC(=O)NC3=CC=CC=C3,Active,68,active agonist,active agonist,7.791135224,106.2547737,inactive,,0,Vitas
122,170465267,8691,C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl,Active,61,active agonist,active agonist,7.791135224,82.22458405,inactive,,0,Microsource
123,170466144,17113,CC1=CC(=C(C=C1)O)N2N=C3C=CC=CC3=N2,Active,57,active agonist,active agonist,7.791135224,64.97602785,inactive,,0,Bosche
124,170465870,6035,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)Br)CO)O,Active,51,active agonist,active agonist,7.791135224,41.73433486,inactive,,0,Bosche
125,144214036,4115,COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)C(Cl)(Cl)Cl,Active,79,active agonist,active agonist,8.029949747,149.5905681,inactive,,0,LightBiologicals
126,144210749,10021362,C1CN(CCC1(C2=CC=C(C=C2)F)O)[C@@H]3COC4=C([C@@H]3O)C=CC(=C4)O,Active,67,active agonist,active agonist,8.095942383,105.4480973,inactive,,0,Pfizer
127,144207389,7472,CN(C)C1=CC=C(C=C1)N,Active,58,active agonist,active agonist,8.107421164,70.2103783,active antagonist,59.6416,-114.929,SIGMA
128,144210608,5757,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,Active,46,active agonist,active agonist,8.15189184,23.50119883,inactive,,0,SIGMA
129,144208099,5281567,COC1=CC(=O)O[C@H](C1)/C=C/C2=CC3=C(C=C2)OCO3,Active,52,active agonist,active agonist,8.26743358,49.98380676,inactive,,0,ChromaDex
130,144207567,6828,CCN(C1=CC=CC=C1)C(=O)N(CC)C2=CC=CC=C2,Active,50,active agonist,active agonist,8.309822402,40.44972089,inactive,,0,SIGMA
131,170466176,54339,C1=CC=C(C=C1)CCNC2=NC(=CS2)C3=CC=CC=C3,Active,60,active agonist,active agonist,8.412674301,79.02065918,inactive,,0,Enamine
132,170465986,5343,CC1=CC(=NC(=N1)C)NS(=O)(=O)C2=CC=C(C=C2)N,Active,49,active agonist,active agonist,8.412674301,36.61543163,inactive,,0,Labotest
133,170466551,71873,CCCCCCCCCCCCCCNCCO.CC(C(=O)O)O,Active,46,active agonist,active agonist,8.412674301,23.5,inactive,,0,Labotest
134,144209716,6450278,C/C=C/1\C(=O)C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,Active,45,active agonist,active agonist,8.462327599,20.83272509,inactive,,0,ChromaDex
135,144213892,5889,C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,Active,48,active agonist,active agonist,8.547515903,33.00177739,inactive,,0,SIGMA
136,144210959,5125,CCCCSP(=O)(SCCCC)SCCCC,Active,51,active agonist,active agonist,8.634921799,44.56136787,inactive,,0,ChemService
137,144210587,456201,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@H]3CO[C@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,Active,47,active agonist,active agonist,8.634921799,29.24128098,active antagonist,38.5708,-82.2861,SIGMA
